date,dex_volume_usd,curve_volume_usd,bridge_deposit_usd,bridge_withdraw_usd,bridge_net_flow,eth_stablecoin_supply,eth_stablecoin_minted,eth_stablecoin_bridged
2023-09-16,1102524587,57311302.0,127798472.60195419,96680447.396286,31118025.205668196,66618680308,73891892228,100930836
2023-09-17,966641417,44928175.0,129997082.82853727,106953772.19190527,23043310.636631995,66700234163,73985017319,100977804
2023-09-18,1835310737,86330605.0,108335043.70146202,92566597.01624036,15768446.685221657,66707441871,74015615070,101137576
2023-09-19,1609073724,113435625.0,156366502.02380183,127109131.43989906,29257370.583902776,66536221858,73851505572,100929065
2023-09-20,1562579192,82593144.0,126117460.91293421,144207581.43939227,-18090120.526458055,66522202448,73838805073,101123003
2023-09-21,1583984281,90978260.0,129771613.98833808,96673987.36826952,33097626.620068565,66395598528,73713510784,101059169
2023-09-22,1232517451,87946756.0,132776651.08151945,110295877.27510868,22480773.806410775,66141972109,73447102995,100867232
2023-09-23,991513781,56990843.0,99984394.73024063,74364649.0597592,25619745.67048143,66154989889,73490571451,100930623
2023-09-24,959840696,78839610.0,95756114.05838108,78751823.78486024,17004290.273520842,66165858560,73503238733,100554332
2023-09-25,1544258006,113023026.0,119733757.8967366,115843635.77735518,3890122.1193814278,66205360867,73542510209,100806869
2023-09-26,1361645767,96981196.0,111845468.92089231,192807045.06099856,-80961576.14010625,65993328910,73333918263,100672690
2023-09-27,1809980885,103676523.0,126051728.46299429,91804909.52469757,34246818.93829672,65918059542,73238885803,100649482
2023-09-28,2191663943,154156484.0,119940253.55792786,127171555.127384,-7231301.569456145,65823785136,73153741683,100512114
