date,hhi_component,share_pct,tier,volume_usd
2023-06-04 00:00:00.000 UTC,282.84,16.82,Tier3,26927983.228907984
2023-06-05 00:00:00.000 UTC,8485,92.11,Tier1,1307544412.5230887
2023-06-05 00:00:00.000 UTC,62.19,7.89,Tier3,111939785.92236699
2023-06-06 00:00:00.000 UTC,7050.65,83.97,Tier1,978188823.807548
2023-06-06 00:00:00.000 UTC,1.16,1.08,Tier2,12572818.400403
2023-06-06 00:00:00.000 UTC,223.58,14.95,Tier3,174190259.218114
2023-06-07 00:00:00.000 UTC,7743.3,88,Tier1,923215100.9594226
2023-06-07 00:00:00.000 UTC,0.01,0.1,Tier2,999001
2023-06-07 00:00:00.000 UTC,141.82,11.91,Tier3,124941300.34649596
2023-06-08 00:00:00.000 UTC,6723.02,81.99,Tier1,458182625.08585757
2023-06-08 00:00:00.000 UTC,324.21,18.01,Tier3,100617284.310147
2023-06-09 00:00:00.000 UTC,7145.39,84.53,Tier1,829951051.7975547
2023-06-09 00:00:00.000 UTC,0.01,0.11,Tier2,1041958.04
2023-06-09 00:00:00.000 UTC,236.04,15.36,Tier3,150844024.047202
2023-06-10 00:00:00.000 UTC,5203.08,72.13,Tier1,509348623.339548
2023-06-10 00:00:00.000 UTC,2.43,1.56,Tier2,11000000
2023-06-10 00:00:00.000 UTC,692.21,26.31,Tier3,185781608.22164804
2023-06-11 00:00:00.000 UTC,6570.41,81.06,Tier1,286749219.29877347
2023-06-11 00:00:00.000 UTC,358.8,18.94,Tier3,67008588.634220995
2023-06-12 00:00:00.000 UTC,1436.56,37.9,Tier1,1168642254.795212
2023-06-12 00:00:00.000 UTC,3260.12,57.1,Tier2,1760500010
2023-06-12 00:00:00.000 UTC,25,5,Tier3,154180976.322797
2023-06-13 00:00:00.000 UTC,5046.07,71.04,Tier1,770766862.1661588
2023-06-13 00:00:00.000 UTC,339.76,18.43,Tier2,200000000
2023-06-13 00:00:00.000 UTC,110.92,10.53,Tier3,114274701.52382103
2023-06-14 00:00:00.000 UTC,5350.91,73.15,Tier1,719482715.8945754
2023-06-14 00:00:00.000 UTC,66.16,8.13,Tier2,80000000
2023-06-14 00:00:00.000 UTC,350.31,18.72,Tier3,184089986.18873796
2023-06-15 00:00:00.000 UTC,1061.15,32.58,Tier1,877910100.5174143
2023-06-15 00:00:00.000 UTC,201.44,14.19,Tier2,382500000
2023-06-15 00:00:00.000 UTC,2833.63,53.23,Tier3,1434610722.1263914
